label,combo_id,seed,iter,population,sigma,alpha,hidden_sizes,episodes_per_eval,iterations,temperature,topk,K,J_curr,J_best_true,SR_curr,MX_curr,wallclock_s
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,34,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.4675986800600981,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,35,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.4677192667972335,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,36,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.49267335188939687,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,37,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.46565549198810957,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,38,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.45630302206941775,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,39,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.4812723171313665,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,40,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.47754094677744235,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,41,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.4662944613148324,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,42,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.47407597468631624,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,43,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.46435534430971337,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,44,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.4765709239248758,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,45,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.4797595207990446,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,46,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.47304720881339335,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,47,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.44741570727656604,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,48,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.4629809178863935,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,49,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.4444563113330232,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,50,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.45156210351507514,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,51,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.4407757500464734,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,52,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.4646408757486004,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,53,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.47220384829000905,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,54,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.47756589048074893,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,55,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.46873350069370523,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,56,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.4805263766925665,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,57,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.4795946816387637,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,58,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.4744323655904376,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,59,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.47703249189822716,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,60,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.4681648978926517,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,61,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.46784095065789766,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,62,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.458283779398224,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,63,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.48211793630050187,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,64,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.4650559999170863,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,65,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.5059235502499431,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,66,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.4838376349313055,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,67,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.46310230601370317,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,68,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-983.3333333333334,0.0,-0.4458952144042488,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,69,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.4297699268596953,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",33,0,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.4239255458916607,84.4
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",33,1,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-758.3333333333334,0.0,-0.36582716486063754,84.4
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",33,2,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-654.2,0.0,-0.3309736549871489,84.4
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",33,3,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-462.1333333333333,0.0,-0.24501516889932395,84.4
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",33,4,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-981.6666666666666,-469.93333333333334,0.06666666666666667,0.016881725132879808,84.4
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",33,5,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-996.3333333333334,-375.8,0.13333333333333333,0.18857529020296931,84.4
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",33,6,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-667.2,-279.8,0.8,0.4511416122471298,84.4
