combo_id,seed,population,sigma,alpha,hidden_sizes,episodes_per_eval,iterations,J_final,first_iter_ge_-150,wallclock_s_total
"P=60|sigma=0.1|alpha=0.1|h=(3,)",303,60,0.1,0.1,"(3,)",15,100,-192.93333333333334,,191.5
"P=60|sigma=0.1|alpha=0.1|h=(4,)",101,60,0.1,0.1,"(4,)",15,100,-1000.0,,504.0
"P=60|sigma=0.1|alpha=0.1|h=(4,)",202,60,0.1,0.1,"(4,)",15,100,-111.53333333333333,24,155.8
"P=60|sigma=0.1|alpha=0.1|h=(4,)",303,60,0.1,0.1,"(4,)",15,100,-1000.0,,511.5
"P=60|sigma=0.1|alpha=0.1|h=(3, 2)",101,60,0.1,0.1,"(3, 2)",15,100,-1000.0,,563.0
"P=60|sigma=0.1|alpha=0.1|h=(3, 2)",202,60,0.1,0.1,"(3, 2)",15,100,-114.46666666666667,22,145.0
"P=60|sigma=0.1|alpha=0.1|h=(3, 2)",303,60,0.1,0.1,"(3, 2)",15,100,-111.0,35,176.8
"P=60|sigma=0.1|alpha=0.15|h=(3,)",101,60,0.1,0.15,"(3,)",15,100,-206.73333333333332,,138.9
"P=60|sigma=0.1|alpha=0.15|h=(3,)",202,60,0.1,0.15,"(3,)",15,100,-109.66666666666667,12,92.7
"P=60|sigma=0.1|alpha=0.15|h=(3,)",303,60,0.1,0.15,"(3,)",15,100,-192.66666666666666,,141.6
"P=60|sigma=0.1|alpha=0.15|h=(4,)",101,60,0.1,0.15,"(4,)",15,100,-109.46666666666667,17,111.2
"P=60|sigma=0.1|alpha=0.15|h=(4,)",202,60,0.1,0.15,"(4,)",15,100,-114.06666666666666,20,125.6
"P=60|sigma=0.1|alpha=0.15|h=(4,)",303,60,0.1,0.15,"(4,)",15,100,-127.26666666666667,87,364.6
"P=60|sigma=0.1|alpha=0.15|h=(3, 2)",101,60,0.1,0.15,"(3, 2)",15,100,-111.0,17,143.2
"P=60|sigma=0.1|alpha=0.15|h=(3, 2)",202,60,0.1,0.15,"(3, 2)",15,100,-114.4,14,130.1
"P=60|sigma=0.1|alpha=0.15|h=(3, 2)",303,60,0.1,0.15,"(3, 2)",15,100,-115.26666666666667,19,140.2
"P=60|sigma=0.15|alpha=0.1|h=(3,)",101,60,0.15,0.1,"(3,)",15,100,-124.0,80,365.0
"P=60|sigma=0.15|alpha=0.1|h=(3,)",202,60,0.15,0.1,"(3,)",15,100,-1000.0,,509.3
"P=60|sigma=0.15|alpha=0.1|h=(3,)",303,60,0.15,0.1,"(3,)",15,100,-1000.0,,521.3
"P=60|sigma=0.15|alpha=0.1|h=(4,)",101,60,0.15,0.1,"(4,)",15,100,-115.33333333333333,26,186.9
"P=60|sigma=0.15|alpha=0.1|h=(4,)",202,60,0.15,0.1,"(4,)",15,100,-112.66666666666667,21,145.9
"P=60|sigma=0.15|alpha=0.1|h=(4,)",303,60,0.15,0.1,"(4,)",15,100,-113.4,36,224.7
"P=60|sigma=0.15|alpha=0.1|h=(3, 2)",101,60,0.15,0.1,"(3, 2)",15,100,-1000.0,,541.7
"P=60|sigma=0.15|alpha=0.1|h=(3, 2)",202,60,0.15,0.1,"(3, 2)",15,100,-111.6,23,192.8
"P=60|sigma=0.15|alpha=0.1|h=(3, 2)",303,60,0.15,0.1,"(3, 2)",15,100,-196.46666666666667,,256.8
"P=60|sigma=0.15|alpha=0.15|h=(3,)",101,60,0.15,0.15,"(3,)",15,100,-108.86666666666666,15,134.5
"P=60|sigma=0.15|alpha=0.15|h=(3,)",202,60,0.15,0.15,"(3,)",15,100,-111.86666666666666,14,117.5
"P=60|sigma=0.15|alpha=0.15|h=(3,)",303,60,0.15,0.15,"(3,)",15,100,-118.73333333333333,13,135.3
"P=60|sigma=0.15|alpha=0.15|h=(4,)",101,60,0.15,0.15,"(4,)",15,100,-1000.0,,514.0
"P=60|sigma=0.15|alpha=0.15|h=(4,)",202,60,0.15,0.15,"(4,)",15,100,-1000.0,,508.7
"P=60|sigma=0.15|alpha=0.15|h=(4,)",303,60,0.15,0.15,"(4,)",15,100,-118.2,21,168.3
"P=60|sigma=0.15|alpha=0.15|h=(3, 2)",101,60,0.15,0.15,"(3, 2)",15,100,-120.86666666666666,16,162.0
"P=60|sigma=0.15|alpha=0.15|h=(3, 2)",202,60,0.15,0.15,"(3, 2)",15,100,-1000.0,,555.3
"P=60|sigma=0.15|alpha=0.15|h=(3, 2)",303,60,0.15,0.15,"(3, 2)",15,100,-111.66666666666667,28,209.4
"P=60|sigma=0.2|alpha=0.1|h=(3,)",101,60,0.2,0.1,"(3,)",15,100,-115.66666666666667,32,245.9
"P=60|sigma=0.2|alpha=0.1|h=(3,)",202,60,0.2,0.1,"(3,)",15,100,-118.46666666666667,17,178.1
"P=60|sigma=0.2|alpha=0.1|h=(3,)",303,60,0.2,0.1,"(3,)",15,100,-123.73333333333333,59,299.7
"P=60|sigma=0.2|alpha=0.1|h=(4,)",101,60,0.2,0.1,"(4,)",15,100,-112.66666666666667,20,229.0
"P=60|sigma=0.2|alpha=0.1|h=(4,)",202,60,0.2,0.1,"(4,)",15,100,-118.06666666666666,20,202.2
"P=60|sigma=0.2|alpha=0.1|h=(4,)",303,60,0.2,0.1,"(4,)",15,100,-127.06666666666666,53,211.1
"P=60|sigma=0.2|alpha=0.1|h=(3, 2)",101,60,0.2,0.1,"(3, 2)",15,100,-122.93333333333334,35,266.9
"P=60|sigma=0.2|alpha=0.1|h=(3, 2)",202,60,0.2,0.1,"(3, 2)",15,100,-121.53333333333333,90,331.3
"P=60|sigma=0.2|alpha=0.1|h=(3, 2)",303,60,0.2,0.1,"(3, 2)",15,100,-119.46666666666667,35,295.2
"P=60|sigma=0.2|alpha=0.15|h=(3,)",101,60,0.2,0.15,"(3,)",15,100,-122.73333333333333,18,208.9
"P=60|sigma=0.2|alpha=0.15|h=(3,)",202,60,0.2,0.15,"(3,)",15,100,-116.33333333333333,18,185.7
"P=60|sigma=0.2|alpha=0.15|h=(3,)",303,60,0.2,0.15,"(3,)",15,100,-132.26666666666668,18,152.9
"P=60|sigma=0.2|alpha=0.15|h=(4,)",101,60,0.2,0.15,"(4,)",15,100,-117.93333333333334,16,169.7
"P=60|sigma=0.2|alpha=0.15|h=(4,)",202,60,0.2,0.15,"(4,)",15,100,-116.33333333333333,14,164.5
"P=60|sigma=0.2|alpha=0.15|h=(4,)",303,60,0.2,0.15,"(4,)",15,100,-108.66666666666667,16,173.6
"P=60|sigma=0.2|alpha=0.15|h=(3, 2)",101,60,0.2,0.15,"(3, 2)",15,100,-1000.0,,560.6
"P=60|sigma=0.2|alpha=0.15|h=(3, 2)",202,60,0.2,0.15,"(3, 2)",15,100,-157.4,58,317.7
"P=60|sigma=0.2|alpha=0.15|h=(3, 2)",303,60,0.2,0.15,"(3, 2)",15,100,-120.26666666666667,36,250.2
