seed,iter,population,sigma,alpha,hidden_sizes,episodes_per_eval,iterations,temperature,topk,K,J_curr,J_best_true,SR_curr,MX_curr,wallclock_s
11,69,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-110.86666666666666,-107.06666666666666,1.0,0.5,125.1
22,0,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.34483928003285735,125.6
22,1,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.30348993753207776,125.6
22,2,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.34405418089549406,125.6
22,3,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.3041982600372555,125.6
22,4,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.35182124420817823,125.6
22,5,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.3172084174432646,125.6
22,6,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.2790985007589791,125.6
22,7,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.3226732047599324,125.6
22,8,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.2836091008225511,125.6
22,9,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-415.3333333333333,0.0,-0.2952820301265372,125.6
22,10,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-294.53333333333336,0.0,-0.17726910816698593,125.6
22,11,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-993.8,0.0,0.014717936068727674,125.6
22,12,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-232.26666666666668,0.0,0.06763760737837306,125.6
22,13,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-602.2666666666667,0.0,0.10358742524915261,125.6
22,14,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-197.06666666666666,0.0,0.18369405756475096,125.6
22,15,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-469.3333333333333,-167.2,0.9333333333333333,0.49891928893098386,125.6
22,16,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-238.2,-161.6,1.0,0.5,125.6
